first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car
Chickie,Brister,Male,86,12-07-1957,General Manager,Manufacturing,Mass Customer,Yes
Morly,Genery,Male,69,22-03-1970,Structural Engineer,Property,Mass Customer,No
Ardelis,Forrester,Female,10,28-08-1974,Senior Cost Accountant,Financial Services,Affluent Customer,No
Lucine,Stutt,Female,64,28-01-1979,Account Representative III,Manufacturing,Affluent Customer,Yes
Melinda,Hadlee,Female,34,21-09-1965,Financial Analyst,Financial Services,Affluent Customer,No
Druci,Brandli,Female,39,29-04-1951,Assistant Media Planner,Entertainment,High Net Worth,Yes
Rutledge,Hallt,Male,23,06-10-1976,Compensation Analyst,Financial Services,Mass Customer,No
Nancie,Vian,Female,74,27-12-1972,Human Resources Assistant II,Retail,Mass Customer,Yes
Duff,Karlowicz,Male,50,28-04-1972,Speech Pathologist,Manufacturing,Mass Customer,Yes
Barthel,Docket,Male,72,02-08-1985,Accounting Assistant IV,IT,Mass Customer,Yes
Rockwell,Matson,Male,94,01-01-1995,Programmer Analyst I,Retail,High Net Worth,No
Wheeler,Winward,Male,48,30-08-1999,Environmental Specialist,Manufacturing,Mass Customer,No
Olag,,Male,60,13-05-1990,Human Resources Manager,Telecommunications,Mass Customer,No
Melba,Spellacy,Female,38,09-12-1976,VP Marketing,Health,Mass Customer,No
Mandie,Feares,Female,32,19-04-1964,Clinical Specialist,Health,Mass Customer,No
Dukie,Swire,Male,88,31-03-1954,,Manufacturing,Affluent Customer,Yes
Marcelia,Monkleigh,Female,61,22-08-1993,Associate Professor,Manufacturing,Mass Customer,Yes
Winnifred,Beswetherick,Female,83,08-06-1976,Actuary,Financial Services,Mass Customer,No
Odilia,Quick,Female,65,09-11-1938,General Manager,Manufacturing,Affluent Customer,Yes
Karly,Willavize,Female,2,12-08-1954,Internal Auditor,Manufacturing,High Net Worth,No
Teddie,Burchill,Male,11,21-12-1968,Programmer I,Manufacturing,Mass Customer,Yes
Gaston,Dallaghan,Male,44,29-09-1993,Financial Analyst,Financial Services,Mass Customer,Yes
Otis,Ottey,Male,26,05-02-1998,Quality Engineer,,Mass Customer,No
Tabbatha,Averill,Female,5,17-12-1977,Quality Control Specialist,,Affluent Customer,Yes
Brena,Schnitter,Female,78,11-10-1982,Account Executive,Manufacturing,Mass Customer,No
Rourke,Gillbard,Male,11,03-08-1945,,Property,Mass Customer,No
Dyane,Burwell,Female,19,27-06-1952,Engineer II,Retail,Mass Customer,Yes
Claudine,Barstowk,Female,71,20-07-1966,Nurse,Property,High Net Worth,Yes
Blinnie,Roze,Female,84,10-12-1960,Librarian,Entertainment,High Net Worth,No
Rhona,De Freyne,Female,45,22-11-1960,,Health,High Net Worth,No
Sharron,Claibourn,Female,62,26-01-1980,,Financial Services,High Net Worth,Yes
Brien,Heaton,Male,70,28-11-1951,Clinical Specialist,Health,Mass Customer,Yes
Sybilla,MacCart,Female,88,15-01-1987,Paralegal,Financial Services,Mass Customer,Yes
Mikel,McNess,Male,71,22-09-1981,Nurse,,Mass Customer,No
Maisie,Maddox,Female,27,09-05-1977,Assistant Manager,Financial Services,Affluent Customer,No
Arleen,Casbolt,Female,48,10-05-1975,Senior Quality Engineer,Financial Services,Affluent Customer,Yes
